url,clicks_current,clicks_previous,clicks_variation_%,impressions_current,impressions_previous,impressions_variation_%,ctr_current_%,ctr_previous_%,position_current,position_previous
https://www.legrand.fr/pro/catalogue/interrupteur-ou-va-et-vient-etanche-plexo-10ax-250v-ip55-ik08-avec-enjoliveur-finition-gris,5,15,-66.67,25,56,-55.36,20.0,26.79,16.0,27.7
https://www.legrand.fr/pro/catalogue/prise-hdmi-20-type-a-preconnectorisee-dooxie-finition-blanc,5,15,-66.67,442,437,1.14,1.13,3.43,12.5,14.7
https://www.legrand.fr/pro/catalogue/repartiteur-modulaire-a-barreaux-etages-tetrapolaire-100a-10-departs-6-modules,5,15,-66.67,139,118,17.8,3.6,12.71,6.7,5.6
https://www.legrand.fr/pro/catalogue/support-a-vis-pour-mosaic-celiane-ou-soliroc-pour-4-postes-ou-10-modules,5,15,-66.67,127,210,-39.52,3.94,7.14,14.2,9.2
https://www.legrand.fr/pro/nos-showrooms/innoval-Limoges,5,15,-66.67,304,383,-20.63,1.64,3.92,12.0,10.0
https://www.legrand.fr/pro/catalogue/contacteur-de-puissance-cx3-bobine-230v-4p-400v-40a-contact-4f-3-modules,4,12,-66.67,187,205,-8.78,2.14,5.85,15.8,16.3
https://www.legrand.fr/pro/catalogue/produits-industriels/enveloppe-industrielle/armoire-industrielle,4,12,-66.67,737,904,-18.47,0.54,1.33,17.5,20.2
https://www.legrand.fr/pro/catalogue/station-meteo-intelligente-et-connectee-netatmo-pour-acceder-aux-donnees-meteo-en-temps-reel-sur-smartphone,4,12,-66.67,192,390,-50.77,2.08,3.08,18.3,17.6
https://www.legrand.fr/catalogue/interrupteur-volet-roulant-connecte/interrupteur-pour-volet-roulant-pour-installation-connectee-dooxie-with-netatmo-complet-avec-plaque-blanche,3,9,-66.67,150,247,-39.27,2.0,3.64,24.6,24.2
https://www.legrand.fr/catalogue/interrupteur/interrupteur-ou-va-et-vient-lumineux-etanche-plexo-10a-livre-complet-pour-montage-en-encastre-avec-griffes-gris,3,9,-66.67,46,64,-28.12,6.52,14.06,21.6,19.0
https://www.legrand.fr/catalogue/prise/double-prise-de-courant-avec-terre-etanche-precablee-avec-volet-plexo-16a-250v-livree-complete-montage-apparent-vertical-anthracite,3,9,-66.67,137,183,-25.14,2.19,4.92,32.6,18.9
